Aanpassen 	To adjust
blad (het)	leaf (it)
blank	White
blij(de)	glad (the)
blijkbaar	apparently
blijken	prove
blijven	stay
blik(de)	can (de)
blik(het)	can (it)
blind	blind
bloed (het)	blood (it)
bloem	flower
bloes	blouse
blok (het)	block (it)
blouse	blouse
bodem	bottom
boek (het)	book ()
boel	lot
boer	farmer
bon	receipt
boodschap	message
boom	tree
boord (het, de)	board (to the)
boos	angry
boot	boat
bord (het)	board (it)
borst	chest
bos (het, de)	forest (it, de)
boterham	sandwich
bouw	construction
bouwen	to build
boven	above
boven	above
bovendien	moreover
brand	fire
branden	to burn
breed	wide
breken	break
brengen	bring
brief	letter
bril	glasses
broer	brother
brommer	moped
brood (het)	bread (it)
broodje (het)	roll (it)
bruin	brown
buigen	bow
buik	belly
buiten (vz)	outside (vz)
buiten (bw)	outside (bw)
buitengewoon	out of the ordinary
buitenland (het)	abroad (it)
buitenlands	foreign
bureau (het)	office ()
burgemeester	mayor
bus	bus
buur	neighbor
buurt	neighborhood
cadeau (het)	gift (the)
cafe (het)	cafe (it)
cassette	cassette
cent	cent
centime	centime
centimeter	centimeter
central	central
centrum (het)	the center (it)
chauffeur	driver
chef	chef
chemisch	chemical
christelijk	Christian
christen	Christian
cijfer (het)	digit (the)
circa	approximately
citroen	lemon
club	club
college	fellow worker
college (het)	college (it)
commissie	Commission
computer	computer
congres (het)	Congress (it)
conclusive	conclusion
consequentie	consequence
constateren	ascertain
contact (het)	contact (it)
controleren	to check
crisis		crisis
cultuur	culture
cursus	class
daad	deed
daar	over there
daarna	afterwards
daarom	therefore
dadelijk	immediately
dagelijks	daily
dak (het)	roof (it)
dalen	fall
dame	Lady
dank	thanks
dankbaar	grateful
danken	thank
dankzij	thanks to
dansen	dancing
dat	in that 
datum (het)	date (it)
December	December
deel (het)	share it)
deelnemen	Participate
degelijk	sound
definitief	final
degelijk	sound
degene / diegene	person / person
deken	blanket
democratie	democracy
denken	to think
dergelijk	such
deze	this one
dicht	close
dichtbij	close to
dief	thief
diegene	those
dienen	serve
dienst	shift
diep	deep
dier (het)	animal (it)
dik	fat
dikwijls	often
ding (het)	thing (it)
dinsdag	Tuesday
diploma (het)	degree (it)
direct	straight away
directeur	director
disco	disco
discussie	discussion
dochter	daughter
doden	kill
doek (de, het)	cloth (an, the)
doel (het) doen	purpose (it) do
dokter	doctor
dom	stupid
dominee	pastor
donderdag	Thursday
donker	dark
dood	death
door (vz)	by (vz)
door (bw)	by (bw)
doorbrengen	spend
doordat	because
doordringen	permeate
doorgaan	Get on
doorlopen	run through
doos	box
dorp (het)	Village (it)
dorst	thirst
douche	shower
draad	wire
draaien	to turn
dragen	to wear
dreigen	threaten
drijven	float
dringen	push
drinken	drink
dromen	to dream
droog	dry
droom	dream
drug	drug
druk (de)	pressure (de)
druk	busy
drukken	to press
dubbel	double
duidelijk	clearly
dun	thin
duren	last
durven	to dare
dus	So
duur (de)	duration (the)
duur	expensive
dwingen	force
echt	really
echter	however
economie	economy
economisch	economic
een	a (one)
eenheid	unit
eenmaal	once
eens (bn)	once (adj)
eens (bw)	agree (adv)
eentje	one
eenvoudig	simple
eenzaam	lonely
eer	honour
eerder	earlier
eerlijk	honestly
eerst (bw)	first (bw)
eerst (telw)	first (telw)
eeuw	century
ei (het)	ei (it)
eigen	own
eigenaar	owner
eigenaardig	peculiarly
eigenlijk	actually
eiland (het)	island (it)
eind (het)	end (the)
einde (het)	end (the)
eindelijk	Finally
eindigen	end
eis	requirement
Eisen	requirements
Elders	elsewhere
Elektrisch	electric
element (het)	element (it)
elk	each
elkaar	each other
emmer	bucket
ene	one
enerzijds	on the one hand
enig (bn/bw)	single (bn / bw)
enig (onbep vnw)	any (Unl pron)
enigszins	somewhat
enkel (bn/bw)	single (bn / bw)
enkel (onbep. telw)	single (Unl. telw)
enorm	enormous
enzovoorts	and so on
erg (het)	really (the)
erg (bn/bw)	very (bn / bw)
ergens	somewhere
erkennen	acknowledge
ernstig	serious
eruitzien	look
ervaren	to experience
ervaren (bn)	experienced (adj)
ervaring	experience
eten (het)	food (it)
eten		food
even (bw)	for a bit / equally (adv)
even (bn)	even (adj)
evenals	as well as
evengoed	as well
evenmin	nor
eventjes	momentarily
eventueel	possibly
examen (het)	exam (it)
extra		additional
fabriek	factory
februari	February
familie		family
feest (het)	party (the)
feit (het)	event (the)
feitelijk	factual
fel		intense
fiets		bike
figuur (de)	Figure (de)
figuur (het)	Figure (it)
fijn		nice
file		traffic jam
financieel	financial
flat		flat
flauw		faint
fles		bottle
fluisteren	to whisper
foto		photo
fout (bn)	error (bn)
fout (de)	error (the)
fraai		beautiful
friet		French fries
fris		fresh
frites	frites
fruit (het)	fruit (it)
foto	photo
fout	wrong
fout	wrong
functie	position
functioneren	Operate
gaan	to go
gang	corridor
garage	garage
gas (het)	gas (a)
gast	guest
gat (het)	hole (it)
gauw	soon
gebaar (het)	gesture (it)
gebeuren	to happen
gebeurtenis	event
gebied (het)	region (the)
geboren	born
gebouw (het)	building (it)
gebrek (het)	defect (it)
gebruik (het)	use it)
gebruiken	use
gedachte	thought
gedeelte (het)	portion (the)
gedrag (het)	behavior (it)
geduld (het)	patience (it)
gedurende	during
geel	yellow
geen	no
geest	spirit
geestelijk	mentally
gegeven (het)	data (it)
geheel (het)	a whole (it)
geheim (het)	secret (it)
gek	crazy
gek (de)	crazy (the)
geld (het)	money ()
gelden	apply
geleden	ago
gelegenheid	opportunity
geleidelijk	gradually
gelijk (het)	the same (it)
gelijk	equal
geloof (het)	believe it)
geloven	to believe
geluid (het)	sound (the)
geluk (het)	happiness (it)
gelukkig	happy
gemakkelijk	easy
gemeenschappelijk	common
gemeente	Township
generatie	generation
genoeg (bw)	enough (bw)
genoeg (onbep telw)	enough (Unl telw)
genoegen (het)	pleasure (it)
geregeld	regularly
gering	small
gerust	safe
geschiedenis	history
geschikt	fit
gesloten	closed
gesprek (het)	call (it)
gestalte	shape
getrouwd	married
geur	odor
gevaar (het)	danger (it)
gevaarlijk	dangerous
geven	to give
gevoel (het)	feeling (it)
gevoelen (het)	feeling (it)
gevolg (het)	consequence (it)
geweld (het)	violence (it)
geweldig	awesome
gewoon	just
gewoonlijk	usually
gewoonte	habit
gezag (het)	authority (it)
gezellig	cozy
gezelschap (het)	group (it)
gezicht (het)	face (the)
gezin (het)	Family (it)
gezond	healthy
gisteravond	yesterday evening
gisteren	yesterday
gisterenavond	yesterday evening
glans	gloss
glas (het)	glass (it)
glijden	to slide
glimlachen	smile
glimmen	gleam
god	God
goed (het)	good (the)
goed	good
goedemiddag	good afternoon
goedenacht	good night
goedenavond	good evening
goedendag	good day
goedkeuren	approve
goedkoop	cheap
goedvinden	consent
golf	golf
gooien	throw
gordijn (het)	curtain (it)
goud (het)	gold (it)
graag	gladly
gram (het)	gram (It)
grap	joke
gras (het)	grass (it)
gratis	free
grens	border
grijpen	grab
grijs	gray
groeien	to grow
groen	green
groente	vegetable
groenteman	greengrocer
groep	group
groet	greeting
groeten	regards
grond	ground
groot	big
gunstig	favorable
haar (het)	her (it)
haast (de)	hurry (de)
haast	rush
haastig	hastily
halen	get
half	half
hallo	Hey
hand	hand
handel	trade
handelen	to trade
handhaven	maintain
hangen	to hang
hard	hard
hart (het)	heart (it)
haven	port
hebben	to have
heen	away
heer	lord
heerlijk	delicious
heersen	reign
heet	hot
heftig	fiercely
heilig	holy
hek (het)	gate (it)
helder	bright
heleboel	lot
helemaal	all the way
helft	half
helpen	help out
hem	him
hemel	sky
hen	them
herfst	autumn
herhalen	to repeat
herinneren	to remind
herinnering	reminder
herkennen	recognize
herstellen	to recover
heten	call
hetgeen	which
hetzelfde	the same
hevig	intense
hier	here
historisch	historical
hoe	how
hoed	hat
hoek	corner
hoeveel	How much
hoeveelheid	quantity
hoeven	hooves
hoewel	although
hond	dog
honger	hunger
hoofd (het)	head (the)
hoofdzakelijk	mainly
hoog	high
hoogte	height
hoop	hope
hopen	to hope
horen	to hear
horloge (het)	watch ()
hotel (het)	hotel (it)
houden	to hold
houding	attitude
huidig	current
huilen	to cry
huis (het)	home (it)
huishouden (het)	household (it)
huiskamer	living room
hulp	help
hun (pers vnw)	their (pron pers)
hun (bez vnw)	their (pron bez)
huren	rent
hut	cabin
huur	rent
huwelijk (het)	marriage (the)
ideaal (het)	ideal (it)
idee (het)	idea (it)
ieder	each
iedereen	everybody
iets (onbep vnw)	something (pron Unl)
iets (bw)	something (adv)
ijs (het)	ice cream (it)
ijzer (het)	iron (it)
immers	after all
inderdaad	indeed
indertijd	previously
indien	if
individueel	individual
indruk	impression
industrie	industry
industrieel	industrial
ineens	suddenly
informatie	information
ingaan	enter
ingang ingenieur	As engineer
ingewikkeld	complicated
inhoud	content
inhouden	contain
initiatief (het)	initiative (the)
inlichting	information
innemen	occupy
instantie	instance
instappen	to get in
instellen	Set up
instelling	institution
instrument (het)	instrument (the)
interessant	interesting
interesseren	to interest
internationaal	international
intussen	Meanwhile
inzicht (het)	insight (it)
inzien	see
jaar (het)	year (it)
jacht	hunt
januari	January
jarig	birthday
jas	jacket
jasje (het)	jacket (it)
je (pers vnw)	you (pron pers)
je (wederk vnw)	you (pron wederk)
je (bez vnw)	you (pron bez)
jeugd	youth
jonen	Jonen
journalist	journalist
juist	right
juli	July
juni	June
jurk	dress
kaart	Map
kaas	cheese
kabinet (het)	Cabinet (it)
kader (het)	frame (the)
kamp (het)	camp (it)
kans	opportunity
kant	side
kantoor (het) kapitein	office (the) captain
kapot	Broken
kapper	Barber
karakter (het)	character (the)
kast	closet
kat	cat
katholiek	Catholic
keel	throat
keer	time
kennelijk	apparent
kennen	know
kennis	knowledge
kennismaken	acquainted
invloed	influence
invoeren	enter
kerel	guy
keren	turn
kerk	church
kermis	fair
Kerstmis	Christmas
keuken	kitchen
keus	choice
keuze	choice
kiezen	choose
kiezer	voter
kijken	look
kilo (het, de)	kilo (it, de)
kilometer	kilometer
kind (het)	child (it)
kip	chicken
kist	chest
klaar	ready
klagen klant	customer complain
klap	blow
klas	class
klasse	class
klein	small
kleren	clothes
kleur	colour
klimaat (het)	climate (it)
klimmen	to climb
klinken	sound
klok	clock
kloppen	to knock
knap	good looking
knie	knee
knoop	button
koe	cow
koek	biscuit
koers	course
koffer	Suitcase
koffie	coffee
koken	Cook
komen	come
koning	king
koningin	queen
koninklijk	royal
kop	head
kopen	to buy
kort	short
kosten (de)	costs ()
kosten	cost
kous	stocking
kraan	crane
kracht	power
krachtig	powerful
krant	newspaper
krijgen	to get
kring	circle
kritiek	criticism
kritisch	critical
kruipen	to crawl
kruispunt (het)	intersection (it)
kunnen	being able
kunst	art
kus	kiss
kussen (het)	cushion (it)
kust	coast
kwaad (het)	evil (it)
kwaad	pissed off
kwalijk	ill
kwaliteit	quality
kwart (het)	quartz (it)
kwestie	matter
kwijt	lost
laag	low
laars	boot
lachen	laugh
laken (het)	sheet (it)
lamp	lamp
land (het)	country (the)
landbouw	Agriculture
lang	long
langs (vz)	along (vz)
langs (bw)	along (bw)
langzaam	slowly
langzamerhand	gradually
last	load
laten	leave
lawaai (het)	noise (it)
leeftijd	Age
leeg	empty
leer (het)	learn it)
leer (de)	learned)
leerling	pupil
leger (het)	Army (The)
leggen	down
leiden	lead
leider	leader
leiding	conduit
lekker	yummy
lelijk	ugly
lenen	to lend
lente	spring
lepel	spoon
leraar	teacher
leren	to learn
les	lesson
letten	watching
letter	letter
leuk	nice
leven (het)	life ()
leven	life
leveren	to deliver
lezen	read
lichaam (het)	body (it)
licht (het)	light (It)
licht	light
lid (het)	member (it)
lied (het)	song (it)
lief	sweet
liefde	love
liegen	to lie
liever	rather
liggen	lie
lijden	suffering
lijf (het)	web (It)
lijken	appear
lijn	line
lijst	list
limonade	lemonade
links	left
lip	lip
liter	liter
logeren	stay
logisch	logical
loon (het)	wage (it)
loop	course
lopen	walk
lucht	air
lucifer	match
luid	loud
luiden	read
lunch	lunch
ma	mom
maal (de)	times (the)
maal (het)	times (It)
maaltijd	meal
maandag	Monday
maart	March
maat	measure
maatregel	measure
maatschappelijk	socially
maatschappij	society
machine	machine
machtig	mighty
mager	low fat
maken	to make
makkelijk	easy
mama	mom
man	man
manier	way
mantel	coat
markt	market
massa	mass
mat	mat
mate	extent
materiaal (het)	material (it)
mede	co
mededelen	communicate
medicijn (het)	drug (it)
meebrengen	bring over
meedelen	communicate
meedoen	participate
meegaan	come
meemaken	participate
meenemen	take
meer (bw)	more (bw)
meer (onbep telw)	More (Unl telw)
meest	most
meestal	mostly
meester	master
meevallen	be easy
mei	May
meid	girl
meisje (het)	girl ()
mekaar	eachother
melk	milk
men	one
meneer	Mr.
menen	think
mengen	to blend
mening	opinion
mens	man
menselijk	human
merken	Brands
merkwaardig	remarkable
mes (het)	knife (it)
met	with
meteen	right away
methode	method
mevrouw	Mrs.
middel (het)	means (it)
middelbaar	middle
midden (het)	middle (it)
midden	middle
mij (pers vnw)	me (pron pers)
mij (wederk vnw)	me (pron wederk)
mijnheer	Sir
milieu (het)	environment ()
militair	military
militair (bn)	military (adj)
miljoen (het)	million (the)
min	minus
minder (bw)	less (bw)
minder (onbep telw)	less (Unl telw)
minister	minister
ministerie (het)	Ministry ()
minst	least
misbruik (het)	abuse (it)
misdaad	crime
misschien	perhaps
misverstand (het) m?n	misunderstanding (it) m? n
moe	tired
moed	courage
moeder	mother
moeilijk	difficult
moeilijkheid	difficulty
moeite	effort
moeten	should
mogelijk	possible
mogelijkheid	possibility
mogen	be allowed to
moment (het)	time (it)
mond	mouth
mooi	beautiful
moord	murder
morgen (de)	tomorrow (the)
morgen	tomorrow
muur	wall
muziek	music
naam	name
naar (bn)	to (bn)
naar (vz)	to (vz)
naar (vw)	to (vw)
naast	next
nacht	night
nadat	after
nadeel (het)	downside (the)
nadenken	reflect
nader	further
naderen	approach
nadruk	emphasis
najaar (het)	fall (it)
name	especially
namelijk	namely
nat	wet
nationaal	national
nationaliteit	nationality
natuur	nature
natuurlijk	of course
nauw	narrow
nauwelijks	barely
nee	No
neer	down
neerleggen	deposit
neerzetten	put down
negatief	negative
nemen	take
nergens	nowhere
net	just
netjes	decently
neus	nose
niemand	no one
niet	not
niets	nothing
nietwaar	not true
nieuws (het)	news (it)
nieuwsgierig	curious
niks	nothing
niveau (het)	level (It)
noch	neither
nodig	required
noemen	to mention
nog	yet
nogal	quite
nogmaals	once again
noodzakelijk	necessary
nooit	never
noorden (het)	north ()
norm	norm
normaal	normal
nota	note
nou	Well
november ?ns	of November? ns
nummer (het)	number ()
nuttig	helpful
ochtend	morning
oefenen	to practise
officieel	officially
officier	officer
ofschoon	although
ogenblik (het)	moment (it)
oktober	October
om (vz)	to (vz)
om (bw)	to (bw)
oma	grandmother
omdat	because
omdraaien	turn around
omgaan	handle
omgeving	surroundings
omhoog	up
omkeren	turning back
omlaag	down
omstandigheid	circumstance
onafhankelijk	independently
onbekend	unknown
ondanks	despite
onder (vz)	under (vz)
onder (bw)	under (bw)
onderhandelen	negotiate
onderhandeling	negotiation
onderneming	company
onderscheiden	distinguish
onderwerp (het)	subject (it)
onderwijs (het)	education (it)
onderwijzer	teacher
onderzoek (het)	research (the)
onderzoeken	to investigate
oneven	odd
ongeluk (het)	accident (it)
ongetwijfeld	doubtless
ongeveer	about
onlangs	recently
onmiddellijk	immediately
onmogelijk	impossible
ons	U.S
ons / onze	our our
ontbijt (het)	Breakfast (it)
ontbreken	lack
ontdekken	to discover
onthouden	to remember
ontmoeten	Meet
ontstaan	arise
ontvangen	receive
ontwikkelen	develop
ontwikkeling	development
ontzettend	enormous
onze	our
onzin	nonsense
oog (het)	eye (it)
ooit	ever
ook	also
oom oor (het)	uncle ear (it)
oordeel (het)	considers (it)
oorlog	war
oorspronkelijk	originally
oorzaak	cause
oosten (het)	east (the)
opa	grandfather
opbellen	call up
opbouwen	build up
opbrengen	produce
opdracht	order
opeens	suddenly
open	Open
openbaar	public
opendoen	to unlock
openen	to open
opening	opening
operatie	operation
opeten	eat
opgaan	go up
opgeven	give up
ophalen	to pick up
ophouden	stop
opkijken	to look up
opkomen	occur
opleveren	yield
oplopen	increase
oplossen	to resolve
oplossing	solution
opmerken	notice
opmerking	remark
opnemen	record
opnieuw	again
oppassen	beware
oprichten	establish
opschieten	Hurry up
opstaan	rise
opstellen	draw up
optillen	lift
optreden	performance
optreden (het)	action (it)
optrekken	pull up
opvallen	stand out
opvatting	conception
opzetten	Setting up
opzicht (het)	terms ()
opzoeken	to look up
orde	order
organisatie	organization
orgel (het)	organ (it)
oud	old
ouder	parent
over (vz)	about (vz)
over (bw)	over (bw)
overal	everywhere
overblijven	remain
overdag	during the day
overeenkomst	agreement
overgaan	pass
overheid	government
overhemd (het)	shirt (it)
overigens	Moreover
overleg (het)	consultation ()
overlijden	passing away
oversteken	cross
overtuigen	convince
overwegen	to consider
overwinning	victory
pa	dad
paal	pole
paar (het)	pair (it)
paar (onbep telw)	pair (Unl telw)
paard (het)	horse (it)
paars	Violet
pak (het) pakken	pack (it) suits
paleis (het)	palace ()
papa	Daddy
papier (het)	paper (it)
pappa	daddy
pardon	excuse me
park (het)	park ()
parkeren	parking
parlement (het)	Parliament (the)
particulier	private
partij	party
pas (de)	pass (the)
pas	only
Pasen	Easter
passen	to fit
pastoor	pastor
patient	patient
peinzen	meditate
pen	pen
per	per
perfect	perfect
periode	period
pers	press
personeel (het)	staff (it)
persoon	person
persoonlijk	in person
persoonlijkheid	personality
pet	cap
pijn	pain
pijp	pipe
Pinksteren	Pentecost
plaat	plate
plaats	Place
plaatselijk	local
plaatsen	place
plaatsvinden	take place
plan (het)	plan ()
plank	shelf
plant	plant
plat	flat
plegen	commit
plein (het)	Square (the)
plezier (het)	fun (it)
ploeg	plow
plotseling	suddenly
plus	plus
poging	attempt
politie	law enforcement
politiek (de)	(our)
politiek	politics
pop	doll
positie	position
positief	positive
post	post
pot	pot
prachtig	magnificent
praktijk	practice
praktisch	practical
praten	to talk
precies president	exactly President
prestatie	performance
prijs	price
principe (het)	principle (it)
prins	Prince
prinses	princess
proberen	to attempt
probleem (het)	problem (it)
procent (het)	percent (it)
proces (het)	process (it)
product (het)	product (it)
proeven	taste
professor	professor
program (het)	program (it)
programma (het)	program (it)
protestants	Protestant
protesteren	protest
provincie	province
publiceren	to publish
publiek (het)	public (the)
punt (het)	point (the)
punt (de)	point (the)
qua	qua
raad	council
raar	weird
radio	radio
raken	touch
rand	edge
rapport (het)	report (it)
reactie	reaction
reageren	respond
realiseren	realize
recht (het)	law ()
recht	straight
rechter	judge
reclame	advertisement
record (het)	record (it)
redden	to rescue
redelijk	reasonable
reden	reason
reeds	already
regel	rule
regelen	arrange for
regeling	regulation
regen	rain
regenen	to rain
regering	government
reiken	to reach
reis	trip
reizen	to travel
reiziger	traveler
rekenen	to calculate
rekening	bill
relatie	relation
rennen	run
reserveren	to reserve
rest	rest
restaurant (het)	restaurant (it)
resultaat (het)	result (it)
retour (het)	return (it)
revolutie	revolution
richten	to target
richting	direction
rij	queue
rijden	to drive
rijk (het)	rich (it)
rijk	rich
rijst	rice
ring	ring
rivier	river
roepen	call
rok	skirt
roken	to smoke
rol	role
roman	novel
rond	round
rond (vz)	around (vz)
rondom	around
rood	red
rook	smoke
rot	rot
rug	back
ruim	spacious
ruimte	space
rust	peace
rusten	rest
rustig	quiet
ruzie	quarrel
samen	together
samenleving	society
samenwerking	collaboration
schaal	Scale
schaduw	shadow
scheiden	divorce
schelen	care
schenken	bestow
scheppen	create
scherp	sharply
scheuren	rip
schieten	shoot
schijnen	shine
schilderen	Paint
schip (het)	ship (the)
schitterend	brilliant
schoen	shoe
school	school
schoon	clean
schoonmaken	to clean
schot (het)	baffle (it)
schouder	shoulder
schreeuwen	shout
schrijven	write
schrijver	writer
schrikken	shy
schudden	to shake
schuiven	shove
schuld	debt
schuur	barn
seconde	second
sedert (vz)	since (vz)
sedert (vw)	since (vw)
seizoen (het)	season (it)
seksueel	sexual
september	September
serie	series
sfeer	ambiance
signalement (het)	scanning report (it)
situatie	situation
sjaal	scarf
sla	lettuce
slaan	to beat
slaap	sleep
slag	blow
slagen	to succeed
slager	Butcher
slapen	to sleep
slecht	bad
slechts	only
sleutel	key
slim	smart
slopen	demolish
slot (het)	Finally (it)
sluiten	Close
smakelijk	tasty
smaken	taste
smal	narrow
snappen	understanding
snel	fast
snijden	to cut
snoep (de, het)	candy (an, the)
sociaal	social
sociologie	sociology
sok	sock
soldaat	soldier
somber	gloomy
sommige	some
soms	once in a while
soort (het)	type (it)
sorry	Sorry
spanning	tension
speciaal	special
spel (het)	Game (The)
speler	player
spiegel	mirror
spijten	sorry
spoedig	soon
spoor (het)	track (it)
sport	sport
sprake	there
spreken	to speak
springen	to jump
staan	stand
staat	state
stad	city
staking	strike
stal	stable
stand	position
standpunt (het)	position (it)
stap	step
stappen	to step
staren	stare
station (het)	station (it)
steeds	ever
steen	stone
steken	stabbing
stelen	steal
stellen	set
stellig	certainly
stem	voice
stemmen	to vote
sterven	to die
steun	support
steunen	support
stichting	foundation
stijgen	rise
stijl	style
stil	quiet
stilte	Silence
stoel	chair
stof (de)	substance (de)
stof (het)	substance (it)
stok	stick
stoppen	stop
straat	street
straf	punishment
strak	tight
straks	later
strand (het)	beach (the)
streek	region
streep	stripe
streng	strict
streven	to strive
strijd	fight
strijken	iron
stroom	flow
structuur	structure
student	student
studeren	to study
studie	study
stuk (het)	piece (it)
stuk	broken
sturen	send
subsidie	subsidy
succes (het)	success (it)
suiker	sugar
supermarkt	grocery store
sympathie	sympathy
systeem (het)	system (the)
taak	task
taal	language
tak	branch
tamelijk	fairly
tand	tooth
tanken	to fuel
tante	aunt
tas	bag
taxi	cab
technisch	technical
teen	toe
tegelijk	together
tegen (vz)	against (vz)
tegen (bw)	against (bw)
tegenover (vz)	versus (vz)
tegenover (bw)	versus (bw)
tegenstander	opponent
tegenstelling	opposition
tegenvallen	disappoint
tegenwoordig	nowadays
teken (het)	sign ()
tekenen	to draw
tekst	text
telefoneren	talk on the phone
telefoon	phone
teleurstelling	disappointment
televisie	television
telkens	every time
tellen	count
ten	at
tenminste	at least
tenslotte	and last but not least
tentoonstelling	exhibition
terecht	justly
term	term
terrein (het)	grounds (it)
terug	back
terugkeren	return
terugkomen	return
terwijl	while
test	test
tevens	also
tevoren	beforehand
tevreden	satisfied
thans	now
thee	tea
theorie	theory
thuis	home
thuiskomen	coming home
tijd	time
tijdens	while
titel	title
toch	yet
tocht	tour
toe toegeven	to admit
toekomst	future
toelaten	permit
toepassen	to apply
toepassing	application
toestand	status
toestemming	permission
toevallig	accidentally
toevoegen	add
tolk	interpreter
ton	ton
tonen	show
toon	tone
